   #FPRO  FPROA   GMAX  CTEMP  X NUCLEUS  FSON      XEQ    XEQ50   FTO      XTO     VOLF    X44      XTO400       SHEART     DIFFT   
    -31.  -103.  -190.  640.  0.94E-03   -179.   0.0512   0.0142     0.  0.0170   0.3034 0.000E+00  0.0041  3   0.13E+04   0.74E+02
    -54.  -146.  -261.  645.  0.99E-03   -247.   0.0563   0.0218     0.  0.0191   0.3671 0.000E+00  0.0059  4   0.24E+03   0.15E+02
    -46.  -132.  -237.  650.  0.10E-02   -225.   0.0546   0.0195     0.  0.0190   0.3468 0.000E+00  0.0057  2   0.37E+03   0.16E+02
    -38.  -117.  -214.  655.  0.11E-02   -202.   0.0527   0.0171     0.  0.0184   0.3238 0.350E-01  0.0051  3   0.58E+03   0.18E+02
    -31.  -102.  -191.  660.  0.12E-02   -179.   0.0510   0.0147     0.  0.0178   0.2997 0.374E-01  0.0044  3   0.94E+03   0.20E+02
    -24.   -89.  -170.  665.  0.12E-02   -157.   0.0492   0.0123     0.  0.0173   0.2742 0.100E+12  0.0038  3   0.16E+04   0.24E+02
    -19.   -76.  -149.  670.  0.13E-02   -136.   0.0475   0.0100     0.  0.0167   0.2475 0.100E+12  0.0031  3   0.30E+04   0.30E+02
    -14.   -64.  -128.  675.  0.14E-02   -116.   0.0458   0.0078     0.  0.0162   0.2193 0.100E+12  0.0025  3   0.58E+04   0.40E+02
    -10.   -52.  -109.  680.  0.14E-02    -96.   0.0441   0.0055     0.  0.0157   0.1897 0.100E+12  0.0019  3   0.13E+05   0.58E+02
     -6.   -41.   -90.  685.  0.15E-02    -76.   0.0425   0.0033     0.  0.0152   0.1584 0.100E+12  0.0012  3   0.31E+05   0.93E+02
     -4.   -30.   -71.  690.  0.16E-02    -58.   0.0410   0.0012     0.  0.0147   0.1254 0.100E+12  0.0006  3   0.93E+05   0.17E+03
    
